text,location,departure_time,return time,duration,cost,people_num,purpose
明年的6月5日至6月18日期間，我們的預算約在三千五左右，我和伴侶一同前往希臘的桑托里尼島，有哪些浪漫的日落觀景點和當地餐廳推薦？,希臘的桑托里尼島,2024/6/5,2024/6/18,14,三千五,2,浪漫的日落觀景點和當地餐廳
在4月10日至4月15日期間，預算範圍在兩千至兩千二之間，我計劃參加一個夏令營，前往加拿大溫哥華，你有哪些戶外活動和自然景點推薦？,加拿大溫哥華,2023/4/10,2023/4/15,6,兩千至兩千二,1,戶外活動和自然景點
我們的預算範圍在五千至五千五之間，我和三位家人將前往南非開普敦，今年的12月15日至12月24日期間，你有哪些適合家庭的野生動物觀賞活動？,南非開普敦,2023/12/15,2023/12/24,10,五千至五千五,4,家庭的野生動物觀賞活動
我計劃前往秘魯馬丘比丘，預算是2800，在明年的9月10日至9月18日期間，你有哪些當地的徒步步道和考古遺址值得探索？,秘魯馬丘比丘,2024/9/10,2024/9/18,9,2800,1,徒步步道和考古遺址
我將和3位朋友們一同前往日本大阪，預算範圍在2500至2800之間，5月20日至5月27日期間，你有哪些適合的購物區和夜生活場所推薦？,日本大阪,2023/5/20,2023/5/27,8,2500至2800,4,購物區和夜生活場所
我將前往挪威的奧斯陸，預算是1500，在11月28日至12月3日期間，你有哪些當地的博物館和文化活動推薦？,挪威的奧斯陸,2023/11/28,2023/12/3,6,1500,1,博物館和文化活動
在今年的8月10日至8月15日期間，預算範圍在1800至2000之間，我和五位夥伴將前往泰國曼谷，你有哪些當地的寺廟和夜市推薦？,泰國曼谷,2023/8/10,2023/8/15,6,1800至2000,6,寺廟和夜市
我計劃和3位朋友一同前往冰島，預算約在3000左右，明年的2月5日至2月13日期間，你有哪些建議的攝影景點？,冰島,2024/2/5,2024/2/13,9,3000,4,攝影景點
我們的預算是每人1000，為期一週，我將和兩位同事一同前往南韓首爾，6月15日出發，你有哪些適合的商業交流活動和觀光景點推薦？,南韓首爾,2023/6/15,2023/6/21,7,1000,3,商業交流活動和觀光景點
我計劃和4位家人一同前往加勒比海的巴巴多斯，這個月的10月20日至10月25日期間，預算是每人2000，你有哪些水上活動和海灘休閒推薦？,加勒比海的巴巴多斯,2023/10/20,2023/10/25,6,2000,5,水上活動和海灘休閒
明年的3月1日至3月7日期間，預算約在2500左右，我和7個朋友們將前往紐西蘭奧克蘭，你有哪些城市觀光景點和當地美食推薦？,紐西蘭奧克蘭,2024/3/1,2024/3/7,7,2500,8,城市觀光景點和當地美食
預算範圍在3000至3500之間，我計劃和攝影師朋友一同前往日本京都，在12月15日至12月22日期間，你有哪些攝影景點和購物區推薦？,日本京都,2023/12/15,2023/12/22,8,3000至3500,2,攝影景點和購物區
我和伴侶將前往希臘雅典，預算範圍在2000至2200之間，今年的7月5日至7月12日期間，你有哪些古代遺址和當地餐廳值得一試？,希臘雅典,2023/7/5,2023/7/12,8,2000至2200,2,古代遺址和當地餐廳
在明年的4月5日至4月10日期間，預算是每人1200，我和3位朋友們計劃前往泰國清邁，你有哪些適合的寺廟參觀和傳統工藝體驗推薦？,泰國清邁,2024/4/5,2024/4/10,6,1200,4,寺廟參觀和傳統工藝體驗
預算範圍在3500至4000之間，我將和夥伴前往希臘聖托里尼島度假，9月18日出發，為期十天，你能分享一些浪漫的日落景點和水上活動嗎？,希臘聖托里尼島,2023/9/18,2023/9/27,10,3500至4000,2,浪漫的日落景點和水上活動
我們打算前往泰國曼谷，今年的8月25日至8月30日期間，預算是每人1000，一家五口，有哪些適合家庭的文化遺址和夜市推薦？,泰國曼谷,2023/8/25,2023/8/30,6,1000,5,家庭的文化遺址和夜市
我將和攝影師朋友一同前往冰島，我們的預算約在2800左右，在明年的3月5日至3月14日，你有哪些壯麗的瀑布和火山景點推薦？,冰島,2024/3/5,2024/3/14,10,2800,2,壯麗的瀑布和火山景點
我計劃和朋友一同前往澳大利亞雪梨，十一月的11月20日至11月25日期間，預算範圍在2500至2800之間，你有哪些音樂和藝術節目推薦？,澳大利亞雪梨,2023/11/20,2023/11/25,6,2500至2800,2,音樂和藝術節目
預算約在4500至5000之間，明年的6月1日至6月7日期間，我和2位家人將前往西班牙的巴塞隆納，我們想要參觀著名的建築和海灘，你有什麼建議？,西班牙的巴塞隆納,2024/6/1,2024/6/7,7,4500至5000,3,著名的建築和海灘
在10月28日至11月1日期間，我計劃和同學一同前往加拿大溫哥華，預算約在1500左右，你有哪些城市遊覽和購物區推薦？,加拿大溫哥華,2023/10/28,2023/11/1,5,1500,2,城市遊覽和購物區
在今年的7月15日至7月20日期間，我將和夥伴一同前往泰國普吉島度假，預算範圍在2000至2200之間，你有哪些海灘活動和水上運動推薦？,泰國普吉島,2023/7/15,2023/7/20,6,2000至2200,2,海灘活動和水上運動
我和攝影愛好者朋友將造訪日本京都，明年的2月5日至2月14日期間，預算約在3000左右，你有哪些古老寺廟和傳統茶道體驗推薦？,日本京都,2024/2/5,2024/2/14,10,3000,2,古老寺廟和傳統茶道體驗
我計劃和男友一同前往法國尼斯，預算範圍在3500至4000之間，今年6月10日至6月15日期間，你有哪些適合家庭的海灘活動和城市觀光景點推薦？,法國尼斯,2023/6/10,2023/6/15,6,3500至4000,2,家庭的海灘活動和城市觀光景點
我和老公將前往芬蘭赫爾辛基，預算是每人1800，12月的12月10日至12月24日期間，你有哪些適合冬季的節慶活動和藝術展覽推薦？,芬蘭赫爾辛基,2023/12/10,2023/12/24,15,1800,2,冬季的節慶活動和藝術展覽
在明年的3月15日至3月24日期間，前往巴哈馬度假，我將參加一個郵輪，預算範圍在2500至2800之間，你有哪些水上活動和陽光海灘推薦？,巴哈馬,2024/3/15,2024/3/24,10,2500至2800,1,水上活動和陽光海灘
我和朋友一同前往摩洛哥馬拉喀什，預算是每人2000，在9月5日至9月10日期間，你有哪些建議的攝影景點和市集？,摩洛哥馬拉喀什,2023/9/5,2023/9/10,6,2000,2,攝影景點和市集
我和三位親人將前往南韓首爾，預算約在3000左右，今年的8月10日至8月17日期間，你有哪些適合的家庭友好活動和主題公園推薦？,南韓首爾,2023/8/10,2023/8/17,8,3000,4,家庭友好活動和主題公園
我和3個朋友一同前往越南峴港，在明年的1月20日至1月24日期間，預算範圍在2000至2200之間，你有哪些城市遊覽和當地美食推薦？,越南峴港,2024/1/20,2024/1/24,5,2000至2200,4,城市遊覽和當地美食
今年的11月28日至12月6日期間，我計劃和攝影愛好者朋友一同前往西班牙塞維利亞，預算是每人1500，你有哪些攝影景點和文化活動推薦？,西班牙塞維利亞,2023/11/28,2023/12/6,9,1500,2,攝影景點和文化活動
明年的5月5日至5月10日期間，預算範圍在1800至2000之間，我和同學將前往泰國曼谷，你有哪些適合的寺廟參觀和夜市推薦？,泰國曼谷,2024/5/5,2024/5/10,6,1800至2000,2,寺廟參觀和夜市
想在10月15日至10月20日期間，我計劃和伴侶一同前往西班牙巴塞隆納，預算範圍在3000至3500之間，你有哪些浪漫的建築景點和當地美食推薦？,西班牙巴塞隆納,2023/10/15,2023/10/20,6,3000至3500,2,浪漫的建築景點和當地美食
我將和兩個攝影師朋友一同前往美國黃石國家公園，在今年的6月10日至6月25日期間，預算範圍在2500至2800之間，你有哪些自然景點和攝影機會推薦？,美國黃石國家公園,2023/6/10,2023/6/25,16,2500至2800,3,自然景點和攝影機會
我和5位同事將前往新加坡出差，在今年的2月20日至2月26日，預算範圍在2000至2200之間，你有哪些商務活動和城市觀光景點推薦？,新加坡,2023/2/20,2023/2/26,7,2000至2200,6,商務活動和城市觀光景點
我和朋友將前往泰國普吉島，我們的預算約在1500左右，在今年的3月10日至3月14日期間，有哪些水上活動和海灘休閒推薦？,泰國普吉島,2023/3/10,2023/3/14,5,1500,2,水上活動和海灘休閒
明年的6月5日至6月10日期間，我和家人想去義大利的佛羅倫斯，預算範圍在3500至4000之間，你有哪些藝術博物館和古老建築推薦？,義大利的佛羅倫斯,2024/6/5,2024/6/10,6,3500至4000,2,藝術博物館和古老建築
我將和攝影愛好者朋友一同前往冰島，預算範圍在2500至2800之間，9月18日出發，大概十天，你有哪些攝影景點和自然奇觀推薦？,冰島,2023/9/18,2023/9/27,10,2500至2800,2,攝影景點和自然奇觀
在8月25日至8月30日期間，我們的預算約在4000至4500之間，我計劃和伴侶一同前往澳大利亞雪梨，有哪些適合情侶的浪漫活動？,澳大利亞雪梨,2023/8/25,2023/8/30,6,4000至4500,2,情侶的浪漫活動
預算範圍在1800至2000之間，我將和2個同學前往南韓首爾，在明年的4月15日至4月18日期間，你有哪些城市遊覽和當地美食推薦？,南韓首爾,2024/4/15,2024/4/18,4,1800至2000,3,城市遊覽和當地美食
今年的11月15日至11月20日期間，我將和朋友一同前往墨西哥坎昆，預算範圍在2000至2200之間，你有哪些海灘活動和古代遺跡推薦？,墨西哥坎昆,2023/11/15,2023/11/20,6,2000至2200,2,海灘活動和古代遺跡
我計劃前往日本京都，在明年的7月5日至7月9日期間，我對古老寺廟和傳統茶道有興趣，預算約在2500至2800之間，你有哪些建議？,日本京都,2024/7/5,2024/7/9,5,2500至2800,1,古老寺廟和傳統茶道
10月28日至11月1日，預算範圍在3500至4000之間，我和6位家人將前往法國巴黎，你有哪些適合家庭的博物館和文化活動推薦？,法國巴黎,2023/10/28,2023/11/1,5,3500至4000,7,家庭的博物館和文化活動
明年的2月20日至2月26日期間，我計劃和三個朋友一同前往越南胡志明市，我們的預算約在2800左右，你有哪些攝影景點和夜市推薦？,越南胡志明市,2024/2/20,2024/2/26,7,2800,4,攝影景點和夜市
預算範圍在3000至3500之間，我將和另一半前往希臘聖托里尼島度假，九月的9月5日至9月10日期間，你能分享一些浪漫的日落景點和水上活動嗎？,希臘聖托里尼島,2023/9/5,2023/9/10,6,3000至3500,2,漫的日落景點和水上活動
為期一週，我們的預算是每人2000，我將和老婆前往南非開普敦，今年的3月15日出發，你有哪些野生動物觀賞活動和自然景點推薦？,南非開普敦,2023/3/15,2023/3/21,7,2000,2,野生動物觀賞活動和自然景點
預算範圍在2500至2800之間，我和男朋友將前往加拿大洛磯山脈，今年的8月10日至8月15日期間，你有哪些攝影景點和登山徑推薦？,加拿大洛磯山脈,2023/8/10,2023/8/15,6,2500至2800,2,攝影景點和登山徑
預算範圍在3000至3500之間，在明年的1月10日至1月25日，我將前往法國香檳區，你有哪些葡萄酒莊參觀和品鑑活動推薦？,法國香檳區,2024/1/10,2024/1/25,16,3000至3500,1,葡萄酒莊參觀和品鑑活動
預算是每人1500，今年11月28日至12月5日期間，我計劃和我男人一同前往日本大阪，你有哪些適合家庭的主題公園和當地美食推薦？,日本大阪,2023/11/28,2023/12/5,8,1500,2,家庭的主題公園和當地美食
預算範圍在3500至4000之間，明年的6月5日至6月12日期間，我將和女友前往紐西蘭奧克蘭，你有哪些城市觀光和自然景點推薦？,紐西蘭奧克蘭,2024/6/5,2024/6/12,8,3500至4000,2,城市觀光和自然景點
9月的9月15日至9月20日期間，我和女朋友將前往冰島，預算約在2500至2800之間，你有哪些攝影景點和冰川探險推薦？,冰島,2023/9/15,2023/9/20,6,2500至2800,2,攝影景點和冰川探險
在今年的7月10日至7月15日期間，我將和女兒一同前往美國奧蘭多，預算範圍在3000至3500之間，你有哪些適合家庭的主題公園和娛樂活動推薦？,美國奧蘭多,2023/7/10,2023/7/15,6,3000至3500,2,家庭的主題公園和娛樂活動
我計劃和我兒子前往希臘雅典，預算範圍在2500至2800之間，明年的3月20日至3月28日期間，你有哪些古代遺跡和當地美食推薦？,希臘雅典,2024/3/20,2024/3/28,9,2500至2800,2,古代遺跡和當地美食
我將和4位友人前往澳大利亞悉尼，預算約在2000左右，今年的11月5日至11月15日期間，你有哪些城市觀光和海灘活動推薦？,澳大利亞悉尼,2023/11/5,2023/11/15,11,2000,5,城市觀光和海灘活動
我們的預算是每人1800，我將和男朋友一同前往日本京都，為期一週，2月15日出發，你有哪些攝影景點和賞櫻活動推薦？,日本京都,2023/2/15,2023/2/21,7,1800,2,攝影景點和賞櫻活動
我將和朋友一同前往南韓濟州島，預算範圍在2000至2200之間，今年的4月15日至4月18日期間，你有哪些海灘活動和自然景點推薦？,南韓濟州島,2023/4/15,2023/4/18,4,2000至2200,2,海灘活動和自然景點
我們的預算約在2500至2800之間，明年的3月5日至3月10日期間，我計劃和2位朋友一同前往日本京都，你有哪些攝影景點和賞櫻活動推薦？,日本京都,2024/3/5,2024/3/10,6,2500至2800,3,攝影景點和賞櫻活動
我和我同學將前往西班牙巴塞隆納， 今年的10月20日至10月28日期間，預算範圍在3000至3500之間，你有哪些城市觀光和建築景點推薦？,西班牙巴塞隆納,2023/10/20,2023/10/28,9,3000至3500,2,城市觀光和建築景點
我將前往希臘聖托里尼島，在今年的9月10日至9月16日期間，預算範圍在1800至2000之間，你有哪些海灘活動和浪漫景點推薦？,希臘聖托里尼島,2023/9/10,2023/9/16,7,1800至2000,1,海灘活動和浪漫景點
預算是每人1200，今年底的12月28日至明年初1月2日期間，我計劃和2位家人一同前往美國紐奧良，你有哪些適合家庭的節慶活動和音樂表演推薦？,美國紐奧良,2023/12/28,2024/1/2,6,1200,3,家庭的節慶活動和音樂表演
明年的7月5日至7月13日期間，預算範圍在2500至2800之間，我和三名同事將前往芬蘭赫爾辛基，你有哪些城市觀光和當地美食推薦？,芬蘭赫爾辛基,2024/7/5,2024/7/13,9,2500至2800,4,城市觀光和當地美食
我們的預算約在2800左右，我計劃和朋友一同前往印度尼西亞峇里島，今年的6月15日至6月19日，你有哪些攝影景點和沙灘活動推薦？,印度尼西亞峇里島,2023/6/15,2023/6/19,5,2800,2,攝影景點和沙灘活動
預算範圍在3500至4000之間，我將和家人前往加拿大溫哥華，在今年的11月20日至11月26日期間，你有哪些家庭友好的自然景點和市區遊覽推薦？,加拿大溫哥華,2023/11/20,2023/11/26,7,3500至4000,2,家庭友好的自然景點和市區遊覽
明年的8月10日至8月18日期間，預算範圍在3000至3500之間，我計劃和女友一同前往巴西里約熱內盧，你有哪些海灘活動和城市觀光推薦？,巴西里約熱內盧,2024/8/10,2024/8/18,9,3000至3500,2,海灘活動和城市觀光
我和三位朋友將前往南非開普敦，5月25日至5月30日期間，預算範圍在2500至2800之間，你有哪些自然景點和野生動物觀賞推薦？,南非開普敦,2023/5/25,2023/5/30,6,2500至2800,4,自然景點和野生動物觀賞
今年的6月5日至6月12日期間，我計劃和男朋友一同前往西班牙巴塞隆納，預算範圍在2500至2800之間，你有哪些城市觀光和建築景點推薦？,西班牙巴塞隆納,2023/6/5,2023/6/12,8,2500至2800,2,城市觀光和建築景點
明年的1月20日至1月24日期間，預算範圍在3000至3500之間，我將和兩位家人前往泰國清邁，你有哪些文化體驗和夜市活動推薦？,泰國清邁,2024/1/20,2024/1/24,5,3000至3500,3,文化體驗和夜市活動
我計劃和女朋友一同前往冰島，我們的預算約在2800左右，大約是10月15日至10月20日期間，你有哪些攝影景點和冰川探險推薦？,冰島,2023/10/15,2023/10/20,6,2800,2,攝影景點和冰川探險
預算範圍在2000至2200之間，我將和伴侶前往希臘雅典，在今年的9月5日至9月15日期間，你有哪些古代遺跡和當地美食推薦？,希臘雅典,2023/9/5,2023/9/15,11,2000至2200,2,古代遺跡和當地美食
今年底的12月28日至明年初1月5日期間，我計劃和朋友一同前往美國紐奧良，預算是每人1200，你有哪些適合跨年慶祝和音樂表演推薦？,美國紐奧良,2023/12/28,2024/1/5,9,1200,2,跨年慶祝和音樂表演
預算範圍在3000至3500之間，明年的7月15日至7月20日期間，我和同學將前往日本大阪，你有哪些城市觀光和美食推薦？,日本大阪,2024/7/15,2024/7/20,6,3000至3500,2,城市觀光和美食
今年6月20日至6月30日之間，我和6位家人將前往意大利羅馬，預算範圍在3500至4000之間，你有哪些古蹟和文化遺產推薦？,意大利羅馬,2023/6/20,2023/6/30,11,3500至4000,7,古蹟和文化遺產
預算範圍在2500至2800之間，我將和3個朋友一同前往澳洲雪梨，在今年的8月10日至8月20日期間，你有哪些海灘活動和城市觀光推薦？,澳洲雪梨,2023/8/10,2023/8/20,11,2500至2800,4,海灘活動和城市觀光
我計劃和家人一同前往加拿大多倫多，4月25日到4月30日之間，預算約在2000左右，你有哪些城市觀光和文化活動推薦？,加拿大多倫多,2023/4/25,2023/4/30,6,2000,2,城市觀光和文化活動
預算範圍在3000到3500，明年的3月10日至3月15日期間，我和男友將前往法國尼斯，你有哪些海灘活動和城市觀光推薦？,法國尼斯,2024/3/10,2024/3/15,6,3000到3500,2,海灘活動和城市觀光
我和女朋友計劃出遊，我們的預算約在2500至2800之間，明年的3月5日至3月12日期間，有哪些海灘活動和自然景點推薦？,x,2024/3/5,2024/3/12,8,2500至2800,2,海灘活動和自然景點
我將和2位家人一同前往美國華盛頓特區，預算範圍在3500至4000之間，想在今年11月20日前回來，你有哪些歷史遺跡和博物館推薦？,美國華盛頓特區,x,2023/11/20,x,3500至4000,3,歷史遺跡和博物館
預算範圍在3000至3500之間，明年的8月5日出發，我計劃和4個夥伴一同前往泰國普吉島，你有哪些海灘活動和水上運動推薦？,泰國普吉島,2024/8/5,x,x,3000至3500,5,海灘活動和水上運動
